date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:22	101953/101953	---M--	200	added ('OK')	application/javascript	etag:%22d24f4a-18e41-57cf4e2c55180%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/datatables/export/jszip.min.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/datatables/export/jszip.min.js	(from http://radixtouch.in/templates/admin/smart/source/light/export_table.html)
11:36:22	141934/141934	---M--	200	added ('OK')	application/javascript	etag:%22d250f4-22a6e-57cf4e39af100%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/select2/js/select2.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/select2/js/select2.js	(from http://radixtouch.in/templates/admin/smart/source/light/advance_form.html)
11:36:28	35467/35467	---M--	200	added ('OK')	application/javascript	etag:%22d24ec4-8a8b-57cf4e35de800%22	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/chart/echart/echart-data.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/js/pages/chart/echart/echart-data.js	(from http://radixtouch.in/templates/admin/smart/source/light/charts_echarts.html)
11:36:28	35652/35652	---M--	200	added ('OK')	application/javascript	etag:%22d250be-8b44-57cf4e33f6380%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/morris/morris.min.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/morris/morris.min.js	(from http://radixtouch.in/templates/admin/smart/source/light/charts_morris.html)
11:36:29	2668/2668	---M--	200	added ('OK')	application/javascript	etag:%22d24ec8-a6c-57cf4e33f6380%22	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/chart/morris/morris_chart_data.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/js/pages/chart/morris/morris_chart_data.js	(from http://radixtouch.in/templates/admin/smart/source/light/charts_morris.html)
11:36:31	5810/5810	---M--	200	added ('OK')	application/javascript	etag:%22d24ece-16b2-57cf4e3d7fa00%22	http://radixtouch.in/templates/admin/smart/source/assets/js/pages/map/google-maps-data.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/js/pages/map/google-maps-data.js	(from http://radixtouch.in/templates/admin/smart/source/light/google_maps.html)
11:36:31	746/746	---M--	200	added ('OK')	text/css	etag:%22d25065-2ea-57cf4e3025a80%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/jqvmap.css	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/jqvmap.css	(from http://radixtouch.in/templates/admin/smart/source/light/vector_maps.html)
11:36:34	31936/31936	---M--	200	added ('OK')	application/javascript	etag:%22d24f83-7cc0-57cf4e37c6c80%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/gmaps/gmaps.min.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/gmaps/gmaps.min.js	(from http://radixtouch.in/templates/admin/smart/source/light/google_maps.html)
11:36:34	198/198	---M--	502	error ('Server%20Hangup')	text/html	date:Sun,%2019%20Jan%202020%2006:05:23%20GMT	http://radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/maps/jquery.vmap.russia.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/maps/jquery.vmap.russia.js	(from http://radixtouch.in/templates/admin/smart/source/light/vector_maps.html)
11:36:37	34317/34317	---M--	200	added ('OK')	application/javascript	etag:%22d25062-860d-57cf4e2a6cd00%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/jquery.vmap.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/jquery.vmap.js	(from http://radixtouch.in/templates/admin/smart/source/light/vector_maps.html)
11:36:44	60599/60599	---M--	200	added ('OK')	application/javascript	etag:%22d25083-ecb7-57cf4e2e3d600%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/maps/jquery.vmap.world.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/maps/jquery.vmap.world.js	(from http://radixtouch.in/templates/admin/smart/source/light/vector_maps.html)
11:36:46	3119/3119	---M--	200	added ('OK')	application/javascript	etag:%22d25061-c2f-57cf4e2a6cd00%22	http://radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/data/jquery.vmap.sampledata.js	C:/My%20Web%20Sites/college%20admin/radixtouch.in/templates/admin/smart/source/assets/plugins/jqvmap/data/jquery.vmap.sampledata.js	(from http://radixtouch.in/templates/admin/smart/source/light/vector_maps.html)
